expt_number,ionic_strength,temperature,nominal_pH,P_phosphate,F_TFP_1,F_TFP_2,H_acetate,H_cacodylate,H_formate,H_imidazole_1,H_imidazole_2,H_TFP_3,H_maleate,H_HEPES_1,H_Tris,H_piperazine,H_HEPES_2,H_HEPES_3,H_HEPES_4
362,0.15,283,6.75,1.452595312,-132.0397778,-123.706026,1.910476636,1.659453894,8.438911433,8.497903314,7.397028791,6.797585253,6.018708078,3.887011889,3.721404474,missing,missing,missing,missing
365,0.15,298,6.75,1.42859164,-132.0520421,-123.959177,1.907404143,1.67143662,8.441369428,8.399583513,7.36753285,6.806802734,6.02270232,3.879945153,3.722940721,missing,missing,missing,missing
368,0.15,310,6.75,1.40089193,-132.0697666,-124.1706917,1.904331649,1.680039603,8.443827424,8.308637697,7.33803691,6.812025974,6.026082063,3.872263919,3.721404474,missing,missing,missing,missing
371,0.15,283,6.5,0.867511657,-131.6826154,-122.0374983,1.912012884,1.725512511,8.438604184,8.604211599,7.43697121,6.826159445,6.056192502,3.90145261,3.72324797,missing,missing,missing,missing
374,0.15,298,6.5,0.842287158,-131.6721036,-122.2053353,1.909247639,1.743025725,8.441062179,8.546755965,7.423144988,6.836605924,6.066638981,3.89653662,3.727549462,missing,missing,missing,missing
377,0.15,310,6.5,0.817946765,-131.6736933,-122.3528468,1.906482395,1.755008451,8.443694748,8.484384341,7.405017274,6.842750911,6.075241964,3.89162063,3.729700207,missing,missing,missing,missing
380,0.15,283,6.25,0.616631592,-131.5702788,-121.5101727,1.914163629,1.774057913,8.438296935,8.634629288,7.448953935,6.835376926,6.089068186,3.905446852,3.724169718,missing,missing,missing,missing
383,0.15,298,6.25,0.590493514,-131.5451764,-121.6105321,1.911398385,1.792800125,8.441369428,8.595608617,7.4418872,6.847052403,6.103508906,3.901759859,3.729085708,missing,missing,missing,missing
386,0.15,310,6.25,0.566149036,-131.5350275,-121.704227,1.908940389,1.804475601,8.443212925,8.551364706,7.430211723,6.85350464,6.114569884,3.897458368,3.731850953,missing,missing,missing,missing
389,0.15,283,6,0.459144835,-131.5088991,-121.2206455,1.916621624,1.816151078,8.438296935,8.650913505,7.455098923,6.840600166,6.122251119,3.907597597,3.724476968,missing,missing,missing,missing
392,0.15,298,6,0.432396344,-131.4737597,-121.2769967,1.914470879,1.833971541,8.441062179,8.622953811,7.452333679,6.852890141,6.139149834,3.904525104,3.729700207,missing,missing,missing,missing
395,0.15,310,6,0.408359116,-131.4544247,-121.3360271,1.912320133,1.845032519,8.442905675,8.590999876,7.445574192,6.860264126,6.152054308,3.900838111,3.7333872,missing,missing,missing,missing
398,0.15,283,5.75,0.279375933,-131.4455103,-120.9237048,1.92338111,1.882209693,8.437067937,8.667197722,7.461243911,6.845516156,6.18585174,3.909441094,3.724476968,missing,missing,missing,missing
401,0.15,298,5.75,0.252934691,-131.3992547,-120.9318803,1.922766612,1.895114168,8.439833182,8.650913505,7.463087407,6.85842063,6.203364955,3.906983099,3.730314706,missing,missing,missing,missing
404,0.15,310,5.75,0.23011829,-131.3702688,-120.9480606,1.921844864,1.902795402,8.441983927,8.63340029,7.461858409,6.866716363,6.216576678,3.904217854,3.734616197,missing,missing,missing,missing
407,0.15,283,5.5,0.189341942,-131.4162503,-120.7851965,1.935671086,1.927068103,8.43553169,8.674571707,7.464009155,6.847666902,6.239620381,3.910670091,3.724784217,missing,missing,missing,missing
410,0.15,298,5.5,0.163507029,-131.3655907,-120.7735266,1.936285584,1.93352034,8.437682436,8.663817979,7.467696148,6.861185874,6.252832104,3.908212096,3.730621955,missing,missing,missing,missing
413,0.15,310,5.5,0.14252187,-131.3327445,-120.768475,1.938687498,1.936787498,8.439525932,8.65306425,7.469232394,6.869481607,6.262971334,3.905754101,3.734769822,missing,missing,missing,missing
416,0.15,283,5.25,0.162483736,-131.4069855,-120.7465929,1.944425154,1.942625154,8.433995443,8.677029702,7.464930903,6.84858865,6.260513339,3.910977341,3.725091467,missing,missing,missing,missing
419,0.15,298,5.25,0.137259236,-131.3543957,-120.7264302,1.946117564,1.946117564,8.436453438,8.667812221,7.469232394,6.861800373,6.271574317,3.908826595,3.730621955,missing,missing,missing,missing
422,0.15,310,5.25,0.116884491,-131.3207774,-120.7175182,1.948187498,1.947187498,8.437989685,8.658901989,7.47138314,6.870403356,6.2795628,3.906061351,3.734923447,missing,missing,missing,missing
425,0.15,283,5,0.14020159,-131.4011161,-120.7148591,1.957017904,1.955817904,8.431230199,8.678565949,7.465545402,6.849203148,6.27987005,3.911591839,3.724784217,missing,missing,missing,missing
428,0.15,298,5,0.11528434,-131.346675,-120.6874405,1.958574242,1.957874242,8.433995443,8.670884714,7.470768641,6.862722121,6.288780282,3.909441094,3.730929205,missing,missing,missing,missing
431,0.15,310,5,0.095827258,-131.3127494,-120.6762911,1.960094748,1.958194748,8.435494748,8.663794748,7.473533886,6.871325104,6.29461802,3.906983099,3.735230696,missing,missing,missing,missing
434,0.15,283,4.75,0.116702702,-131.3927021,-120.6809667,1.987596231,1.971312014,8.423548965,8.680716694,7.466774399,6.850124897,6.304142751,3.913128086,3.725398716,missing,missing,missing,missing
437,0.15,298,4.75,0.089950126,-131.3384894,-120.6460558,1.989132477,1.970697515,8.42569971,8.673957208,7.47169039,6.86333662,6.309980489,3.910362842,3.730929205,missing,missing,missing,missing
440,0.15,310,4.75,0.071103457,-131.3018616,-120.6283438,1.991283223,1.969775766,8.427235957,8.669041218,7.475377382,6.871939602,6.313360232,3.908212096,3.735230696,missing,missing,missing,missing
443,0.15,283,4.5,0.109373651,-131.3906144,-120.6703862,2.004494946,1.976228004,8.416482229,8.681023944,7.466774399,6.850124897,6.311823985,3.913742585,3.725091467,missing,missing,missing,missing
446,0.15,298,4.5,0.08262516,-131.3357872,-120.6337027,2.006338443,1.974999006,8.418940224,8.675186206,7.472304888,6.86333662,6.316739975,3.91128459,3.730929205,missing,missing,missing,missing
449,0.15,310,4.5,0.063168078,-131.2991593,-120.6148325,2.008489188,1.973770008,8.42078372,8.670884714,7.47629913,6.872246852,6.319812469,3.909133844,3.735537945,missing,missing,missing,missing
452,0.15,283,4.25,0.102351851,-131.3889914,-120.6610425,2.029996644,1.981143993,8.399276264,8.681638443,7.466774399,6.850124897,6.31950522,3.915893331,3.725091467,missing,missing,missing,missing
455,0.15,298,4.25,0.074689781,-131.3330849,-120.6228937,2.032761889,1.979914996,8.402348757,8.676107954,7.472612138,6.863643869,6.32411396,3.913435336,3.730929205,missing,missing,missing,missing
458,0.15,310,4.25,0.054925449,-131.2940621,-120.6000844,2.034298136,1.97776425,8.403885004,8.672420961,7.47660638,6.872554101,6.326264706,3.910977341,3.735537945,missing,missing,missing,missing
461,0.15,283,4,0.100520609,-131.3882194,-120.6591123,2.03706338,1.982065741,8.392209528,8.681638443,7.466774399,6.850124897,6.321041467,3.916815079,3.725091467,missing,missing,missing,missing
464,0.15,298,4,0.073161704,-131.331462,-120.6201126,2.039828624,1.981143993,8.395589271,8.676415203,7.472612138,6.863643869,6.325650207,3.914357084,3.730621955,missing,missing,missing,missing
467,0.15,310,4,0.053094208,-131.2944481,-120.5954519,2.041364872,1.978993248,8.397125518,8.672728211,7.476913629,6.872554101,6.327800953,3.911899089,3.735537945,missing,missing,missing,missing
470,0.15,283,3.75,0.096247713,-131.3866752,-120.6540939,2.060107083,1.986674482,8.35165261,8.682252941,7.467081649,6.850432146,6.326571955,3.923574565,3.725091467,missing,missing,missing,missing
473,0.15,298,3.75,0.067057566,-131.3306899,-120.6127779,2.063179577,1.985138235,8.355954101,8.677029702,7.473226636,6.863951119,6.330566197,3.920809321,3.730929205,missing,missing,missing,missing
476,0.15,310,3.75,0.045769242,-131.29329,-120.5877312,2.065023074,1.983294739,8.357797597,8.673649959,7.477220878,6.872554101,6.332102444,3.918044076,3.735537945,missing,missing,missing,missing
479,0.15,283,3.5,0.095940463,-131.3869825,-120.653629,2.062872328,1.987288981,8.34182063,8.681945692,7.467081649,6.850124897,6.326879205,3.925110812,3.725091467,missing,missing,missing,missing
482,0.15,298,3.5,0.066139903,-131.3306111,-120.611155,2.066559321,1.986059983,8.34673662,8.677336951,7.473226636,6.863951119,6.331180696,3.922960066,3.731236454,missing,missing,missing,missing
485,0.15,310,3.5,0.045158829,-131.29329,-120.5869591,2.068402817,1.984523737,8.348887366,8.673957208,7.477220878,6.872861351,6.333024192,3.919887573,3.735537945,missing,missing,missing,missing
542,0.3,283,10.2,2.659584405,-133.5019255,-130.4086166,1.910169387,1.605685253,8.439525932,7.763884549,7.120811599,6.685746479,5.995049876,3.730314706,3.509709652,missing,missing,missing,missing
545,0.3,298,10.2,2.718310184,-133.5311124,-130.6852528,1.906789644,1.603841757,8.441983927,7.769415037,7.129414582,6.69527121,5.991055634,3.727856711,3.511553148,missing,missing,missing,missing
548,0.3,310,10.2,2.769366106,-133.5651372,-130.915384,1.903409901,1.601383761,8.44393377,7.77203377,7.13433377,6.70043377,5.987061392,3.725398716,3.513089395,missing,missing,missing,missing
551,0.3,283,9.75,2.570156743,-133.4983724,-130.3903941,1.910169387,1.605685253,8.439218683,7.767264292,7.122347846,6.686053728,5.994742626,3.731236454,3.521385128,missing,missing,missing,missing
554,0.3,298,9.75,2.647805349,-133.524085,-130.6577654,1.906482394,1.603841756,8.441983927,7.772794781,7.130643579,6.695578459,5.991055634,3.729085708,3.521385128,missing,missing,missing,missing
557,0.3,310,9.75,2.713818452,-133.5547142,-130.8725339,1.903409901,1.601691011,8.444441922,7.775560025,7.135866819,6.701416197,5.987368641,3.727549462,3.521692378,missing,missing,missing,missing
560,0.3,283,9.42,2.553065157,-133.4933539,-130.3668459,1.910169387,1.605685253,8.439525932,7.771873032,7.123884093,6.686360978,5.995049876,3.732772701,3.535211351,missing,missing,missing,missing
563,0.3,298,9.42,2.633155418,-133.5155922,-130.6168456,1.906482394,1.604149006,8.441983927,7.777403521,7.132179826,6.696192958,5.991362883,3.731236454,3.533060605,missing,missing,missing,missing
566,0.3,310,9.42,2.698250857,-133.5430543,-130.8149357,1.903102652,1.601691011,8.444134673,7.779861516,7.137403066,6.702030696,5.987368641,3.729700207,3.531524358,missing,missing,missing,missing
569,0.3,283,9.14,2.542688123,-133.4844751,-130.3332607,1.910169387,1.605685253,8.439218683,7.779247018,7.126956587,6.686975476,5.994742626,3.735230696,3.554260812,missing,missing,missing,missing
572,0.3,298,9.14,2.62216797,-133.5020809,-130.557782,1.906482394,1.604149006,8.441983927,7.784777506,7.13525232,6.697114706,5.991055634,3.734308948,3.549652071,missing,missing,missing,missing
575,0.3,310,9.14,2.685129004,-133.521129,-130.7285424,1.903409901,1.602612759,8.444134673,7.787235501,7.140475559,6.703566943,5.987675891,3.733694449,3.546272328,missing,missing,missing,missing
578,0.3,283,8.98,2.538722476,-133.4779913,-130.3012985,1.910169387,1.605992503,8.439525932,7.785699254,7.129414582,6.687589975,5.995049876,3.737074192,3.567779785,missing,missing,missing,missing
581,0.3,298,8.98,2.615453418,-133.4904998,-130.5037369,1.906482394,1.604763504,8.441983927,7.791229743,7.137710315,6.698343704,5.991362883,3.737074192,3.561634797,missing,missing,missing,missing
584,0.3,310,8.98,2.675362383,-133.5060736,-130.6540374,1.903409901,1.602920008,8.444134673,7.79307324,7.142626305,6.70479594,5.98798314,3.736766943,3.557026056,missing,missing,missing,missing
587,0.3,283,8.71,2.5265142,-133.454057,-130.1935944,1.910169387,1.606299752,8.439525932,7.806899462,7.137403066,6.689740721,5.995357125,3.743526429,3.601884466,missing,missing,missing,missing
590,0.3,298,8.71,2.598058668,-133.4546772,-130.336662,1.906789644,1.605685253,8.442291177,7.810893704,7.145391549,6.701108948,5.991977382,3.745369925,3.591745236,missing,missing,missing,missing
593,0.3,310,8.71,2.649725004,-133.4601353,-130.4397872,1.903409901,1.604149006,8.444134673,7.810279205,7.149385791,6.708482933,5.988290389,3.745369925,3.582527755,missing,missing,missing,missing
596,0.3,283,8.44,2.511253855,-133.4146813,-130.008683,1.910476637,1.606914251,8.439525932,7.841311392,7.150614789,6.692813215,5.995664375,3.753665659,3.635989147,missing,missing,missing,missing
599,0.3,298,8.44,2.573945281,-133.4020975,-130.1011011,1.906482394,1.606607001,8.441983927,7.838238898,7.155838028,6.70510319,5.992284631,3.755816404,3.620933927,missing,missing,missing,missing
602,0.3,310,8.44,2.617983487,-133.3979834,-130.1645433,1.903409901,1.605685253,8.444134673,7.832708409,7.157681525,6.713091674,5.988904888,3.756123654,3.607414954,missing,missing,missing,missing
605,0.3,283,8.25,2.494772683,-133.3710592,-129.8145067,1.910169387,1.607528749,8.439218683,7.876645071,7.163826512,6.696192958,5.995664375,3.763190389,3.657189354,missing,missing,missing,missing
608,0.3,298,8.25,2.550749557,-133.3511407,-129.8741117,1.906482394,1.607528749,8.441983927,7.864047846,7.165670008,6.709097432,5.992591881,3.765341135,3.639983389,missing,missing,missing,missing
611,0.3,310,8.25,2.588073212,-133.3423942,-129.9147779,1.903409901,1.6072215,8.444134673,7.852986868,7.165362759,6.717393165,5.989519387,3.764726636,3.625235418,missing,missing,missing,missing
614,0.3,283,8,2.454485373,-133.2660573,-129.3300312,1.910476637,1.609372246,8.439525932,7.957144408,7.194244201,6.704488691,5.996586123,3.784697846,3.6836128,missing,missing,missing,missing
617,0.3,298,8,2.49672998,-133.2377248,-129.3611483,1.906789644,1.610293994,8.441983927,7.921810729,7.187484714,6.717700414,5.993513629,3.784390597,3.667635833,missing,missing,missing,missing
620,0.3,310,8,2.522148523,-133.2242671,-129.3832059,1.903409901,1.610908492,8.444441922,7.896001781,7.182261475,6.726303397,5.991055634,3.782239851,3.651658865,missing,missing,missing,missing
623,0.3,283,7.75,2.375741995,-133.0830761,-128.4938765,1.910169387,1.612751989,8.439218683,8.07942966,7.240331607,6.718622162,5.99781512,3.813579288,3.702355012,missing,missing,missing,missing
626,0.3,298,7.75,2.400895015,-133.0543576,-128.5168869,1.907096894,1.615517233,8.442291177,8.010913049,7.221282146,6.732141135,5.995664375,3.809892295,3.691294035,missing,missing,missing,missing
629,0.3,310,7.75,2.41075005,-133.0421367,-128.5602552,1.90371715,1.617053479,8.444341019,7.963903894,7.208070423,6.740436868,5.993513629,3.804669056,3.677467813,missing,missing,missing,missing
632,0.3,283,7.47,2.250607169,-132.8333106,-127.3446464,1.910476637,1.619204226,8.439525932,8.21830638,7.292871251,6.738286123,6.000273115,3.842460729,3.713108741,missing,missing,missing,missing
635,0.3,298,7.47,2.257447776,-132.8169453,-127.4363713,1.907096894,1.623505717,8.441983927,8.120293828,7.263068061,6.750576098,5.999044118,3.835393993,3.706963753,missing,missing,missing,missing
638,0.3,310,7.47,2.255397699,-132.8154546,-127.5283014,1.90371715,1.626578211,8.444134673,8.049626471,7.240638857,6.757642834,5.997507871,3.827712759,3.696517274,missing,missing,missing,missing
641,0.3,283,7.28,2.11692655,-132.614428,-126.3498309,1.910783886,1.626270961,8.439218683,8.318776926,7.330970174,6.755492088,6.00303836,3.860588442,3.717717481,missing,missing,missing,missing
644,0.3,298,7.28,2.113082873,-132.6118812,-126.5044008,1.907096893,1.632108699,8.441983927,8.20816715,7.295943745,6.765938567,6.002423861,3.85198546,3.714337738,missing,missing,missing,missing
647,0.3,310,7.28,2.102183839,-132.6189622,-126.6373296,1.904024399,1.63671744,8.444134673,8.12428807,7.2689058,6.772390804,6.001809362,3.843996976,3.707271003,missing,missing,missing,missing
650,0.3,283,7.03,1.85078614,-132.2808927,-124.8103181,1.910783886,1.642555179,8.439462685,8.445062685,7.378901077,6.781915534,6.009797846,3.8814814,3.721711723,missing,missing,missing,missing
653,0.3,298,7.03,1.836872678,-132.2946382,-125.0595457,1.907404143,1.65146541,8.442291177,8.33690464,7.345103646,6.790825766,6.010719594,3.873185667,3.722326222,missing,missing,missing,missing
656,0.3,310,7.03,1.818341429,-132.3132214,-125.2522314,1.904331649,1.658224897,8.444441922,8.244422577,7.314993206,6.796049006,6.011641342,3.864889934,3.718946479,missing,missing,missing,missing
659,0.3,283,6.77,1.552904213,-132.0114393,-123.5784763,1.911398385,1.665598882,8.439525932,8.529242751,7.410547763,6.802808492,6.019629826,3.893464126,3.724169718,missing,missing,missing,missing
662,0.3,298,6.77,1.534717855,-132.0290452,-123.8412151,1.908018642,1.676967109,8.442177018,8.438277018,7.383202568,6.811411475,6.022395071,3.88670464,3.726013215,missing,missing,missing,missing
665,0.3,310,6.77,1.514355364,-132.0476284,-124.0636256,1.904946148,1.685877341,8.444134673,8.350730862,7.355550124,6.816327465,6.025160315,3.879330655,3.725705965,missing,missing,missing,missing
668,0.3,283,6.52,1.200998624,-131.7851433,-122.5233603,1.912012883,1.70093256,8.439218683,8.590692626,7.433898716,6.820628956,6.036528542,3.902067109,3.725398716,missing,missing,missing,missing
671,0.3,298,6.52,1.18067786,-131.7870004,-122.7479603,1.90894039,1.716295029,8.442291177,8.523712262,7.416078252,6.830153687,6.04267353,3.896843869,3.729392958,missing,missing,missing,missing
674,0.3,310,6.52,1.157566465,-131.7977842,-122.927828,1.905867896,1.726741508,8.444226521,8.453226521,7.394263546,6.835376926,6.04758952,3.890698882,3.730314706,missing,missing,missing,missing
677,0.3,283,6.3,0.915324972,-131.6450121,-121.8748193,1.913241881,1.740874979,8.439218683,8.625411806,7.447110439,6.831997183,6.058035998,3.906675849,3.726013215,missing,missing,missing,missing
680,0.3,298,6.3,0.89164489,-131.6328931,-122.0337144,1.910169387,1.757773695,8.441676678,8.576866404,7.436356711,6.842136413,6.06725348,3.902067109,3.730621955,missing,missing,missing,missing
683,0.3,310,6.3,0.868840744,-131.6314025,-122.172741,1.907404143,1.769449172,8.443827424,8.523712262,7.420994242,6.847974151,6.074934714,3.897458368,3.732772701,missing,missing,missing,missing
686,0.3,283,6.01,0.594857735,-131.5207084,-121.3073459,1.916007125,1.804168351,8.438604184,8.653985998,7.457864167,6.841521914,6.100129163,3.910055592,3.726320464,missing,missing,missing,missing
689,0.3,298,6.01,0.569346412,-131.4900597,-121.380927,1.91354913,1.821374316,8.441369428,8.624797308,7.454484424,6.85319739,6.113955385,3.906675849,3.731543703,missing,missing,missing,missing
692,0.3,310,6.01,0.546542266,-131.4754438,-121.4578017,1.911398385,1.832435295,8.443520174,8.591614375,7.447110439,6.859956877,6.125016363,3.903296106,3.734923447,missing,missing,missing,missing
695,0.3,283,5.75,0.400746152,-131.4581705,-121.0170466,1.920615866,1.85916599,8.438296935,8.668426719,7.463394656,6.846745153,6.146831069,3.912206338,3.726934963,missing,missing,missing,missing
698,0.3,298,5.75,0.375845242,-131.4167128,-121.0500939,1.918772369,1.872992212,8.441062179,8.649070008,7.463701906,6.858727879,6.162808037,3.909441094,3.732465452,missing,missing,missing,missing
701,0.3,310,5.75,0.35365151,-131.3912879,-121.0833465,1.916928874,1.881595195,8.442905675,8.627869801,7.460936661,6.866716363,6.175405261,3.9063686,3.736152444,missing,missing,missing,missing
704,0.3,283,5.54,0.301248705,-131.4288318,-120.883092,1.925839105,1.894499668,8.437682436,8.674878956,7.466159901,6.848895899,6.184315493,3.913128086,3.726934963,missing,missing,missing,missing
707,0.3,298,5.54,0.277261373,-131.3826628,-120.8917402,1.924302858,1.904331649,8.440140431,8.660130986,7.468003397,6.861493124,6.199370713,3.910362842,3.732465452,missing,missing,missing,missing
710,0.3,310,5.54,0.255678055,-131.3533776,-120.9041469,1.92338111,1.910476636,8.441983927,8.644768517,7.467388898,6.869481607,6.211353438,3.907597597,3.736459694,missing,missing,missing,missing
713,0.3,283,5.29,0.216397104,-131.4062841,-120.7763884,1.935363836,1.929526097,8.436146189,8.679794946,7.467696148,6.850739395,6.229173902,3.913742585,3.726934963,missing,missing,missing,missing
716,0.3,298,5.29,0.19333152,-131.355333,-120.764813,1.935363836,1.935363836,8.438604184,8.669348467,7.47169039,6.863951119,6.242078376,3.911591839,3.732772701,missing,missing,missing,missing
719,0.3,310,5.29,0.173579443,-131.3218014,-120.7648666,1.938226521,1.935926521,8.44044768,8.658901989,7.472919387,6.871939602,6.251603107,3.909133844,3.737074192,missing,missing,missing,missing
722,0.3,283,5,0.159935871,-131.3913075,-120.7069806,1.956048186,1.954648186,8.432766446,8.68286744,7.468925145,6.851661143,6.27003807,3.914357084,3.726934963,missing,missing,missing,missing
725,0.3,298,5,0.136255789,-131.3367245,-120.6825085,1.957862519,1.955262519,8.435224441,8.675186206,7.473533886,6.864872867,6.278948302,3.912206338,3.732772701,missing,missing,missing,missing
728,0.3,310,5,0.118031789,-131.3021135,-120.6718318,1.958126521,1.956426521,8.437067937,8.66811947,7.47629913,6.873475849,6.285400539,3.910055592,3.737381442,missing,missing,missing,missing
731,0.3,283,4.61,0.124224623,-131.3819638,-120.665982,1.988825227,1.974691756,8.423856214,8.684710936,7.469539644,6.852582892,6.302606504,3.915893331,3.726934963,missing,missing,missing,missing
734,0.3,298,4.61,0.098717383,-131.3259943,-120.6312445,1.990668724,1.974384507,8.426621458,8.678873198,7.475377382,6.866101864,6.308444242,3.914049834,3.73307995,missing,missing,missing,missing
737,0.3,310,4.61,0.080186134,-131.2893743,-120.6143124,1.991897722,1.972848261,8.428157705,8.673957208,7.478449876,6.874397597,6.311823985,3.911591839,3.737381442,missing,missing,missing,missing
740,0.3,283,4.48,0.11781732,-131.3801124,-120.6583401,2.001729702,1.978378749,8.419247473,8.685325435,7.470154143,6.852890141,6.30936599,3.917122328,3.727242212,missing,missing,missing,missing
743,0.3,298,4.48,0.091695583,-131.3228272,-120.6207427,2.003265949,1.977457001,8.421705468,8.679487697,7.475377382,6.866101864,6.31428198,3.914664333,3.73307995,missing,missing,missing,missing
746,0.3,310,4.48,0.073471583,-131.285514,-120.6008011,2.004802196,1.975920754,8.423426521,8.675126521,7.479064375,6.874704847,6.317354474,3.912513587,3.737381442,missing,missing,missing,missing
749,0.3,283,4.25,0.109574692,-131.3792615,-120.6478383,2.023851657,1.982987489,8.406650249,8.685632684,7.470154143,6.852890141,6.317661723,3.918658575,3.727242212,missing,missing,missing,missing
752,0.3,298,4.25,0.08314979,-131.320897,-120.6087756,2.026002403,1.981758492,8.409415493,8.680409445,7.475684631,6.866101864,6.322270464,3.916507829,3.73307995,missing,missing,missing,missing
755,0.3,310,4.25,0.063704962,-131.2831978,-120.5872899,2.02753865,1.979607747,8.41095174,8.676415203,7.479371624,6.874704847,6.32442121,3.914049834,3.737381442,missing,missing,missing,missing
758,0.3,283,4.03,0.104998631,-131.3774102,-120.6444428,2.041672121,1.986059984,8.390058782,8.685939934,7.470154143,6.852890141,6.322884963,3.921423819,3.727242212,missing,missing,missing,missing
761,0.3,298,4.03,0.077656065,-131.3201249,-120.6037571,2.044437366,1.984523737,8.393131276,8.680716694,7.475991881,6.866409114,6.327186454,3.919273074,3.73307995,missing,missing,missing,missing
764,0.3,310,4.03,0.058211238,-131.2804955,-120.5768669,2.045973613,1.982680241,8.394974772,8.677336951,7.479986123,6.875012096,6.32902995,3.916815079,3.737688691,missing,missing,missing,missing
767,0.3,283,3.7,0.100725734,-131.3766381,-120.6409684,2.060721583,1.989746976,8.355954101,8.686247183,7.470461392,6.85319739,6.327493704,3.927876056,3.727242212,missing,missing,missing,missing
770,0.3,298,3.7,0.072162341,-131.3174227,-120.5987386,2.063794076,1.988517979,8.360255593,8.681331193,7.47629913,6.866409114,6.331487945,3.925418061,3.73307995,missing,missing,missing,missing
773,0.3,310,3.7,0.0521071,-131.2789514,-120.5691462,2.065637573,1.986367233,8.362406338,8.678258699,7.480293372,6.875319346,6.333331442,3.922652817,3.737688691,missing,missing,missing,missing
776,0.3,283,3.43,0.098284079,-131.37548,-120.6378802,2.069939064,1.993433969,8.323078418,8.686247183,7.470461392,6.85319739,6.330258948,3.935557291,3.727242212,missing,missing,missing,missing
779,0.3,298,3.43,0.068499859,-131.3185808,-120.5948783,2.073318807,1.992204971,8.328608907,8.681331193,7.475991881,6.866409114,6.33394594,3.932484797,3.732772701,missing,missing,missing,missing
782,0.3,310,3.43,0.046916541,-131.2781005,-120.5694534,2.075162303,1.990361475,8.331374151,8.678258699,7.480293372,6.875012096,6.335789437,3.930026802,3.737381442,missing,missing,missing,missing